City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
santa rosa,14.3122,121.1114,78.85,91,100,7.25,PH,1635032492
margate,51.3813,1.3862,55.31,78,45,4.0,GB,1635032262
safaga,26.7292,33.9365,73.35,48,0,16.35,EG,1635032494
berbera,10.4396,45.0143,82.47,62,35,6.2,SO,1635032495
hamilton,39.1834,-84.5333,57.42,83,40,0.0,US,1635032247
tawang,27.5833,91.8667,43.83,82,54,3.71,IN,1635032496
vestmannaeyjar,63.4427,-20.2734,47.59,87,100,16.4,IS,1635032351
sarankhola,22.3082,89.7897,70.47,82,29,4.16,BD,1635032498
goderich,43.7501,-81.7165,45.21,87,94,3.44,CA,1635032340
harper,4.375,-7.7169,76.91,88,80,7.11,LR,1635032500
tete,-16.1564,33.5867,84.29,34,0,6.91,MZ,1635032501
half moon bay,37.4636,-122.4286,69.21,69,75,1.01,US,1635032271
gorontalo,0.5412,123.0595,83.08,71,99,1.57,ID,1635032371
iguape,-24.7081,-47.5553,68.22,95,100,5.77,BR,1635032503
kyzyl-suu,42.3414,78.0056,30.38,41,0,8.28,KG,1635032504
poum,-20.2333,164.0167,74.21,78,5,7.4,NC,1635032505
nhulunbuy,-12.2333,136.7667,88.41,55,12,10.36,AU,1635032253
pisco,-13.7,-76.2167,62.65,77,0,20.71,PE,1635032328
huambo,-12.7761,15.7392,63.3,77,66,4.43,AO,1635032507
el bagre,7.5927,-74.8086,75.99,97,100,1.03,CO,1635032507
alofi,-19.0595,-169.9187,76.89,57,88,18.41,NU,1635032508
miandoab,36.9694,46.1027,49.69,60,29,1.63,IR,1635032509
zhigansk,66.7697,123.3711,25.81,95,100,5.79,RU,1635032510
kokopo,-4.352,152.2633,85.89,62,15,7.92,PG,1635032363
badia polesine,45.0972,11.4916,56.75,80,7,1.99,IT,1635032512
nurota,40.5614,65.6886,48.29,33,0,6.38,UZ,1635032514
waipawa,-41.4122,175.5153,58.3,73,99,4.72,NZ,1635032514
beyneu,45.3167,55.2,49.96,29,1,11.16,KZ,1635032380
volksrust,-27.3654,29.8818,50.68,82,6,7.49,ZA,1635032516
pizarro,4.9533,-77.366,75.25,89,100,2.98,CO,1635032517
bonthe,7.5264,-12.505,77.9,86,100,1.14,SL,1635032518
tokur,53.1333,132.9,31.17,90,86,4.07,RU,1635032519
luwingu,-10.2621,29.9271,77.52,47,97,1.03,ZM,1635032366
lowestoft,52.4752,1.7516,54.16,82,96,11.59,GB,1635032521
aksu,41.1231,80.2644,45.75,31,7,5.93,CN,1635032522
pangnirtung,66.1451,-65.7125,24.13,86,98,5.82,CA,1635032051
ust-kuyga,70.0167,135.6,-0.4,98,100,1.59,RU,1635032523
killybegs,54.6333,-8.45,55.02,91,100,19.19,IE,1635032524
ramhormoz,31.28,49.6035,72.63,19,0,2.8,IR,1635032525
boueni,-12.9025,45.0761,78.78,81,80,5.01,YT,1635032526
parati,-23.2178,-44.7131,73.67,77,10,4.59,BR,1635032270
ulaangom,49.9811,92.0667,31.96,55,52,2.06,MN,1635032529
sainte-savine,48.2964,4.0464,41.68,93,0,0.0,FR,1635032529
teseney,15.11,36.6575,81.39,45,5,7.29,ER,1635032530
asosa,10.0667,34.5333,62.76,65,10,4.5,ET,1635032531
salinopolis,-0.6136,-47.3561,80.53,82,74,10.74,BR,1635032532
harqalah,36.0303,10.509,73.99,88,75,9.22,TN,1635032533
zhireken,52.8249,117.3076,30.09,81,28,2.57,RU,1635032534
nouadhibou,20.931,-17.0347,68.2,81,0,18.79,MR,1635032535
capoterra,39.1763,8.9718,68.54,78,0,6.91,IT,1635032536
pangody,65.85,74.4859,28.45,89,100,14.61,RU,1635032537
upata,8.0086,-62.3989,75.2,96,95,6.11,VE,1635032538
kargopol,61.5071,38.9456,30.65,90,100,7.54,RU,1635032539
luau,-10.7073,22.2247,69.35,78,81,3.38,AO,1635032540
vilyuysk,63.7553,121.6247,33.15,96,100,10.36,RU,1635032541
okha,53.5739,142.9478,36.41,92,98,19.33,RU,1635032378
alekseyevskaya,50.2896,42.1845,44.42,61,63,7.07,RU,1635032542
leningradskiy,69.3833,178.4167,10.81,93,100,8.59,RU,1635032543
marrakesh,31.6315,-8.0083,64.47,48,0,3.44,MA,1635032544
provideniya,64.3833,-173.3,25.21,77,100,8.41,RU,1635032545
llorente,11.4119,125.5458,80.01,86,100,1.66,PH,1635032546
okato,-39.2,173.8833,59.41,90,100,15.12,NZ,1635032547
palauig,15.435,119.9045,81.18,72,97,4.41,PH,1635032547
abonnema,4.7084,6.7931,73.38,94,92,3.15,NG,1635032548
soubre,5.7856,-6.6083,72.16,100,99,1.72,CI,1635032549
uray,60.1247,64.7758,38.25,78,43,13.58,RU,1635032550
chernyshevskiy,63.0128,112.4714,27.36,86,46,10.09,RU,1635032551
shimoda,34.6667,138.95,60.1,61,90,10.38,JP,1635032552
wuwei,37.9281,102.6414,42.85,66,65,1.12,CN,1635032553
maniwaki,46.3834,-75.966,41.54,70,98,1.14,CA,1635032553
northam,51.0333,-4.2167,56.01,77,100,21.12,GB,1635032554
angoche,-16.2325,39.9086,73.58,83,30,9.93,MZ,1635032555
big spring,32.2504,-101.4787,85.95,47,1,8.99,US,1635032557
bandarbeyla,9.4942,50.8122,76.59,83,22,4.7,SO,1635032558
fonte boa,-2.4959,-66.2662,80.73,73,82,2.01,BR,1635032559
maningrida,-12.0667,134.2667,88.93,56,32,9.06,AU,1635032560
dzilam gonzalez,21.2833,-88.9333,77.29,88,98,6.73,MX,1635032561
tilichiki,60.4667,166.1,12.09,86,99,8.39,RU,1635032562
broome,42.2506,-75.833,47.01,84,75,1.99,US,1635032563
mareeba,-17.0,145.4333,86.32,62,42,8.41,AU,1635032563
sal rei,16.1833,-22.9167,77.56,73,3,16.11,CV,1635032564
poli,-3.3333,36.8,60.67,75,94,3.0,TZ,1635032566
faya,18.3851,42.4509,57.31,27,3,4.38,SA,1635032567
constitucion,-35.3333,-72.4167,51.1,86,0,14.32,CL,1635032568
flinders,-34.5833,150.8552,69.8,64,70,7.0,AU,1635032569
port-gentil,-0.7193,8.7815,78.76,83,75,8.05,GA,1635032570
batticaloa,7.7102,81.6924,77.09,87,65,5.86,LK,1635032571
raga,8.4596,25.678,70.95,88,26,3.98,SS,1635032572
dingle,10.9995,122.6711,78.4,89,100,4.09,PH,1635032573
manhattan,40.7834,-73.9662,59.9,69,90,4.61,US,1635032528
auray,47.6703,-2.9918,55.74,75,62,8.48,FR,1635032575
mazara del vallo,37.6641,12.588,69.93,84,100,4.81,IT,1635032576
padang,-0.9492,100.3543,75.25,86,74,3.49,ID,1635032576
logan lake,50.4998,-120.8025,49.84,62,58,7.36,CA,1635032577
agua verde,22.9,-106.05,86.13,76,15,8.01,MX,1635032578
saint george,37.1041,-113.5841,74.62,26,1,5.01,US,1635032579
nelson bay,-32.7167,152.15,70.77,77,85,4.0,AU,1635032341
bintulu,3.1667,113.0333,75.61,94,20,5.99,MY,1635032581
alugan,12.2188,125.4808,80.98,82,100,7.58,PH,1635032582
vanimo,-2.6741,141.3028,84.94,64,49,7.29,PG,1635032583
udachnyy,66.4167,112.4,26.33,93,86,21.03,RU,1635032583
languyan,5.2618,120.0807,81.1,85,100,4.21,PH,1635032584
hailakandi,24.6833,92.5667,66.58,92,1,3.02,IN,1635032585
nefteyugansk,61.0998,72.6035,39.45,81,100,20.02,RU,1635032586
la cruz,23.9167,-106.9,81.41,78,52,6.6,MX,1635032587
ahipara,-35.1667,173.1667,65.44,80,61,8.19,NZ,1635032588
saint helens,53.45,-2.7333,53.49,74,75,4.0,GB,1635032589
rajmahal,25.05,87.8333,71.71,84,5,1.14,IN,1635032590
mehamn,71.0357,27.8492,35.89,66,100,22.39,NO,1635032591
narsipatnam,17.6667,82.6167,78.21,91,88,2.98,IN,1635032592
karratha,-20.7377,116.8463,87.26,25,94,7.29,AU,1635032593
ivdel,60.6911,60.4206,38.07,79,66,8.39,RU,1635032593
valparaiso,-33.0393,-71.6273,62.24,48,0,6.91,CL,1635032527
arrecife,28.963,-13.5477,71.67,64,40,6.91,ES,1635032339
okhotsk,59.3833,143.3,18.84,68,1,17.72,RU,1635032596
bonavista,48.6499,-53.1147,53.6,100,100,6.67,CA,1635032597
zagan,51.6176,15.3149,40.48,91,32,4.94,PL,1635032597
iwanai,42.9744,140.5089,56.01,67,70,11.45,JP,1635032598
ilulissat,69.2167,-51.1,21.22,79,40,17.27,GL,1635032600
mangan,27.5167,88.5333,65.95,77,57,2.75,IN,1635032601
longyan,25.1072,117.0225,58.41,97,100,3.15,CN,1635032602
grindavik,63.8424,-22.4338,46.87,100,90,9.22,IS,1635032603
kyra,49.5776,111.9753,32.49,57,30,3.29,RU,1635032604
coaldale,49.7167,-112.6185,54.55,50,75,17.27,CA,1635032605
lavrentiya,65.5833,-171.0,24.48,84,100,9.69,RU,1635032606
nioro,13.35,-15.75,78.4,59,81,5.28,GM,1635032607
kamareddi,18.3167,78.35,67.24,69,97,3.13,IN,1635032608
vihti,60.417,24.3197,32.79,89,23,5.01,FI,1635032609
tahoua,14.8888,5.2692,83.52,40,84,6.04,NE,1635032610
ambilobe,-13.2,49.05,73.33,89,12,2.86,MG,1635032611
bacolod,10.6667,122.95,80.73,80,100,1.95,PH,1635032612
muisne,0.6,-80.0333,76.03,85,94,9.46,EC,1635032613
pen,18.75,73.0833,78.84,87,46,4.43,IN,1635032615
port blair,11.6667,92.75,77.04,94,75,2.3,IN,1635032616
vardo,70.3705,31.1107,35.13,67,87,23.62,NO,1635032617
graaff-reinet,-32.2522,24.5308,48.92,74,74,4.99,ZA,1635032617
blythe,33.6103,-114.5964,85.03,22,65,14.94,US,1635032471
kamenka,51.3223,42.7678,41.02,71,9,7.36,RU,1635032619
paita,-5.0892,-81.1144,68.56,82,88,17.54,PE,1635032620
codrington,-38.2667,141.9667,52.11,67,56,14.97,AU,1635032359
aitape,-3.1374,142.3475,85.6,65,92,7.16,PG,1635032621
fort nelson,58.8053,-122.7002,49.59,57,20,5.75,CA,1635032622
callaway,30.153,-85.5699,75.13,70,1,1.01,US,1635032623
leua,48.2156,18.6071,40.5,76,0,4.18,SK,1635032624
hualmay,-11.0964,-77.6139,62.98,83,13,12.37,PE,1635032625
sakata,38.9167,139.855,50.18,87,75,3.44,JP,1635032626
norton,-17.8833,30.7,71.28,39,54,4.72,ZW,1635032627
ayan,56.45,138.1667,39.06,64,24,6.58,RU,1635032627
presidencia roque saenz pena,-26.7852,-60.4388,65.28,79,93,11.81,AR,1635032628
lasa,46.6166,10.7002,40.08,49,7,2.15,IT,1635032629
kloulklubed,7.0419,134.2556,82.9,70,47,1.99,PW,1635032630
shadrinsk,56.0852,63.6335,43.29,83,14,12.88,RU,1635032631
piacabucu,-10.4056,-36.4344,79.02,85,12,13.38,BR,1635032633
shelburne,44.0787,-80.2041,43.75,78,98,5.64,CA,1635032579
newport,51.5877,-2.9984,55.94,73,99,17.22,GB,1635032635
vercheres,45.7834,-73.3492,44.17,71,92,4.61,CA,1635032636
kingaroy,-26.5333,151.8333,86.05,28,55,12.66,AU,1635032637
homer,59.6425,-151.5483,48.04,76,40,5.75,US,1635032638
zomba,-15.386,35.3188,75.56,40,67,4.61,MW,1635032639
mapiripan,2.8892,-72.1256,75.78,92,99,4.47,CO,1635032640
vuyyuru,16.3667,80.85,73.81,95,100,4.18,IN,1635032641
port hardy,50.6996,-127.4199,51.98,76,75,3.44,CA,1635032643
usinsk,65.9939,57.5281,19.63,92,27,11.54,RU,1635032644
miri,4.4148,114.0089,75.34,100,20,2.3,MY,1635032645
kolomak,49.8399,35.3044,39.18,71,5,5.75,UA,1635032645
whitianga,-36.8333,175.7,61.02,95,100,12.93,NZ,1635032646
tazovskiy,67.4667,78.7,27.84,98,100,7.14,RU,1635032647
chihuahua,28.5,-106.0,81.43,20,0,5.84,MX,1635032648
yinchuan,38.4681,106.2731,48.87,51,0,0.69,CN,1635032649
kikwit,-5.041,18.8162,71.08,96,48,1.1,CD,1635032650
vlakhiotis,36.8667,22.7,67.17,64,8,2.89,GR,1635032651
slave lake,55.2834,-114.769,33.78,93,90,11.5,CA,1635032652
shvartsevskiy,54.0961,37.9917,39.43,71,55,14.45,RU,1635032653
vavoua,7.3819,-6.4778,70.86,99,87,2.46,CI,1635032655
